# Dentist Google-review outreach exclusion log
# Append newly drafted clinic emails and facility names here after each successful run.

# 2026-09-22 dentist run
hobro@harald.dk | Harald Tandlægerne Hobro
esbjerg@tandlaegen.dk | tandlægen.dk Esbjerg
mail@tandlaegefredericia.dk | Tandlægeteamet Fredericia
klinik@tvtand.dk | Tandlægerne Vejlevej
info@koegetand.dk | Tandlægehuset Køge
info@dentalkoege.dk | Tandlægerne Stationspladsen Køge
reception@dittandunivers.dk | DitTandUnivers
dreslertand@yahoo.dk | Tandlæge Janne Dresler
info@tandklinikkenravn.dk | Tandklinikken Ravn Strøby Egede
mail@dittandcenter-slagelse.dk | Dittandcenter Slagelse
tandlaegeteamet@mail.dk | Tandlægeteamet Heidi Nielsen
tandklinik@samsson.dk | Samsson Implantat / Tandklinik Slagelse
rosengade@harald.dk | Harald Tandlægerne Rosengade
info@tandlind.dk | Tandlægehuset Linde Allé
info@bydamstand.dk | Tandlægerne i Ballerup
klinik@tandimidtpunkt.dk | Tandlægerne i Hørsholm Midtpunkt
lyngby@tandlaegen.dk | tandlægen.dk Lyngby Implantatcenter
info@tandlaege-reipurth.dk | Tandlægerne Reipurth
cl@lyngbytandklinik.dk | Lyngby Tandklinik
mail@tandlaegelm.dk | Tandlæge Susanne Brix
kontakt@lyngbytandplejecenter.dk | Lyngby Tandplejecenter

# 2026-09-23 morning Google-review drafts
mail@tandlaegernesilkeborg.dk | Tandlægerne Silkeborg
info@torvet9.dk | Tandlægerne Torvet 9
info@papirtand.dk | Tandklinikken Papirfabrikken
kolding@dentist.dk | Dentist.dk Kolding
receptiontk@harald.dk | Harald Tandlægehuset Kolding
tdl@tdlfagernaes.dk | Tandlægerne Fagernæs
info@hausergaarden.dk | Hausergården
info@justsmile.dk | Tandlægerne Gammel Strand
post@tand-hvid.dk | Tandlægerne Hvidkløvervej
tandlaegerne@ved-aaen.dk | Tandlægerne ved Åen
info@clemenstand.dk | Dental Centre
 tandlaegerne@vesterbro74.dk | Tandlægerne Vesterbro 74
info@tandlaegereimer.dk | Reimer & Co
info@tandlaeger-kolding.dk | Tandlæge Uffe Vang Hjelm

# 2026-09-23 verified city Google-review drafts
tht@tmk-klinik.dk | Klinik for Kæbekirurgi
info@tandreguleringen.dk | Tandreguleringen I/S
info@taktand.dk | Tak Tand
mail@rodbehandlingscenter.dk | Rodbehandlingscenter.dk
frederiksberg@tandlaegen.dk | tandlægen.dk Frederiksberg
mail@frederiksbergtandklinik.dk | Frederiksberg Tandklinik
info@tanddk.dk | Tand Danmark Frederiksberg

# 2026-09-23 Randers verified draft
marie-noel@randerstandklinik.dk | Randers Tandklinik

# 2026-09-23 Aalborg verified drafts
urbantand@harald.dk | Harald Tandlægerne Urban
aalborgtand@harald.dk | Harald Tandlægerne Østerågade
klinik@tandlaegeanjakrogh.dk | dinTANDLÆGE Anja Krogh
klinik@samsoegade.dk | Tandklinikken Samsøgade
mail@vejgaardtand.dk | Vejgaard Tandlægerne
mail@tandklinik59.dk | Tandlægerne Gaunø og Nielsen
mail@tand.dk | Tandlægerne Sundhedens Hus

# 2026-09-23 Aarhus verified draft
info@biomedtand.dk | Tandlæge Susanne Rames

# 2026-09-24 dentist run (confirmed drafts)
info@godtand.dk | Godtand
info@sehestedtand.dk | Dentist Copenhagen
tandklinikkenibellinge@gmail.com | Tandklinikken i Bellinge

# 2026-09-24 dentist run (retry confirmed drafts)
info@tandlaegerneihasseris.dk | Tandlægerne i Hasseris
mail@tandlaegerneryesgade.dk | Tandlægerne Ryesgade

# 2026-09-24 dentist run (remaining 20 confirmed drafts)
kontakt@imperialtandklinik.dk | Imperial Tandklinik
reception@borstingogejstrup.dk | dinTANDLÆGE Børsting & Ejstrup
viborg@tandjust.dk | Tandlægerne Justesen, Viborg
kontakt@tandvejle.dk | Tandlægerne Nørrebrogade 5
tandlaegernesoenderaaparken@harald.dk | Harald Tandlægerne Sønderåparken
smil@vindingtand.dk | Tandlægerne i Vindinggård Center
kontakt@tandlaegerne-jernbanegade.dk | Tandlægerne Jernbanegade
fredericia@smilecentret.dk | Smilecentret Fredericia
info@tandhuset45.dk | Tandlægerne i Købmagergade
sanne@bisser.dk | Tandlægerne Gerdes ApS
domhusgade@oris.dk | ORIS Tandlægerne Domhusgade
sundmund@tandklinikviborg.dk | Sund Mund Tandklinik Viborg
info@oletandz.dk | OleTandZ
info@alleklinikken.dk | Alléklinikken
info@tandlaege-vanlose.dk | Ålekistevej Tandklinik
info@implantat.nu | Amager Tandlæge Hus
h.loechte@c.dk | Tandlæge Henrik Løchte
klinik@charlotte-lebahn.dk | Tandlæge Charlotte Lebahn
info@kindtanden.dk | Tandlæge Heidi Jørgensen
info@tandsuhr.dk | Tandlæge Charlotte Maria Suhr

# 2026-09-24 dentist run (fresh 25 city prospects)
ava.kronborg@gmail.com | Ava Kronborg
tandklinikken@strandgade75.dk | Tandlægerne Strandgade 75
helsingor@tandlaegen.dk | tandlægen.dk Helsingør
tandlaege@waagoe.dk | Tandlæge Waagø
tandlaegen@tand50a.dk | Tandlægerne 50A
info@htand.dk | Helsingør Tandcenter
kontakt@hvidovre-tk.dk | Hvidovre Tandklinik
kontakt@ajaxtand.dk | Ajax Tand
info@glostruptandplejecenter.dk | Glostrup Tandplejecenter
overgaard@tandklinik.com | Tandlæge Keld Overgaard
info@herlev-tand.dk | Herlev Tandklinik
info@tandfeer.dk | Strandvejens Tandlægeteam
morteza@glostruptandklinik.dk | Glostrup Tandklinik
kontakt@tandklinik2860.dk | Tandlægerne Anette Buchardt & Mette Laasby Kristensen
klinik@farumtand.dk | Farum Tandplejecenter
info@hareskovklinikken.dk | Hareskovklinikken
mail@birketand.dk | Tandlægerne Mikkelsen
info@hellerup-tandklinik.dk | Tandlæge Susanne Drøjsbjerg
mail@ordruptand.dk | Ordruptand
becktor@becktor.dk | Becktor Specialtandlæger Hellerup
info@holteklinikken.dk | Holte Klinikken
mail@helleruptandlaege.dk | Hellerup Tandlæge
post@tandlyng.dk | Tandlægerne Lyngbyvejen
kontakt@trorodtand.dk | Tandlægerne Bekker-Gregersen
klinik@martinbhedegaard.dk | Tandlæge Martin Blander Hedegaard

# 2026-09-24 evening dentist run (25 confirmed drafts)
tandivalby@gmail.com | Tandlægerne i Valby
kontakt@dronningedamklinikken.dk | Dronningedamklinikken
tandlaege@ith-hansen.dk | Tandlæge Ith-Hansen
herlev@dentalklinikken.dk | Dentalklinikken Herlev
info@neotand.dk | Tandlægecentret Neotand
info@hjemmetandplejen.dk | HjemmeTandplejen A/S
info@ryhlkirurgi.dk | Ryhl Kirurgi
vestergade17.2@gmail.com | Da Vinci Dental Clinic
tdlthorsing@post.tele.dk | Tandlægeselskabet Dorthe og Lars Thorsing Nielsen
klinik@tpt76.dk | Tandlægerne på Thujavej
kontakt@mintand.dk | Tandlægerne Strandbysvinget
info@tandklinikkenesbjerg.dk | Tandklinikken Esbjerg
info@ctand.dk | Charlottenlund Tandlægerne
mail@furesoetand.dk | Furesø Tandlægerne
info@frejlevtand.dk | Tandklinikken Frejlev
info@tandkunsten.dk | Tandkunsten
info@tand-hl.dk | Tandlæge Emilie Hauen-Limkilde
info@tandlaegerneiemdrup.dk | Tandlægerne i Emdrup
kontakt@lipkestand.dk | Tandlægerne Lipkesgade
mail@klinik13.dk | Tandlægerne Moustgaard
ml@pasdintand.dk | Tandlæge MajBritt Lassesen
tandbritt@mail.dk | Tandlæge Britt Helle Larsen
reception@teamskov.dk | TEAMSKOV
mail@damhustand.dk | Damhus Tandlægerne
lene@ondtitanden.dk | Tandlæge Lene Rosendahl Pedersen

# 2026-09-24 late evening dentist run (25 confirmed drafts)
info@tdl-mediehuset.dk | Tandlægerne Mediehuset
post@tandlaegerne-herning.dk | Tandlægerne Østergaard og Pade
reception@jaeger-huset.dk | Jægerhusets Tandklinik
mail@krumport.dk | Krumport Tandlægerne
kontakt@tandlaegehusetherfoelge.dk | Tandlægehuset Herfølge
info@aarhustandklinik.dk | Aarhus Tandklinik
tdl@smildubare.dk | Tandlægerne Banegårdspladsen 10
info@tandlaegernesanktanne.dk | Tandlægerne Skt. Anne Plads
post@tandkilde.dk | Tandlægerne Kildegårds Plads
info@jaegertand.dk | Jægersborg Tandlægeklinik
klinik@vangedetand.dk | Tandlægerne i Vangede
tdl@charlottetrolle.dk | Tandlæge Charlotte Trolle
info@dintandlaege-taastrup.dk | dinTandlæge Ziba
info@tandklinik77.dk | Tandlægerne Jepsen & D'Souza
info@tandtid.dk | Bergstrøms Tandklinik Frederikssund
reception@dentalklinikken.dk | Dentalklinikken Jægerspris
kontakt@broenshoejtand.dk | Tandlægerne i Brønshøj
klinik@tandjuul.dk | Brønshøj Tandpleje Center
reception@arnesvej1.dk | Tandlægerne Arnesvej
mail@vesterbrogade125.dk | Tandlæge Anette Schjødt Svendsen
info@valbytand.dk | Tandlægerne ved Valby Station
smukkesmil@mail.dk | SmukkeSmil
kontakt@tandlaege-ballerup.dk | Tandlægerne i Centrum Ballerup
tandfin@mail.dk | Dit Tandlæge Team
klinik@albertslundtand.dk | Albertslund Tand
